CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Total,White-British,White-Irish,White-Gypsy or Irish Traveller, White-Other White,Mixed-White and Black Caribbean,Mixed-White and Black African,Mixed-White and Asian,Mixed-Other Mixed,Asian-Indian,Asian-Pakistani ,Asian-Bangladeshi,Asian-Chinese,Asian-Other Asian,Black-African,Black-Caribbean,Black-Other Black,Other-Arab ,Other-Any other ethnic group
74024,E00013876,E00013876,Output Areas and Small Areas,OASA,256,128,21,2,58,7,1,1,2,3,0,0,1,7,10,7,7,0,1
74025,E00013877,E00013877,Output Areas and Small Areas,OASA,483,240,40,1,84,8,4,13,9,2,1,0,4,9,31,12,18,5,2
74026,E00013878,E00013878,Output Areas and Small Areas,OASA,275,116,6,2,35,8,4,3,5,0,0,6,2,1,44,20,15,4,4
74027,E00013879,E00013879,Output Areas and Small Areas,OASA,200,64,11,0,34,4,1,0,6,0,1,8,4,4,20,14,8,7,14
74028,E00013880,E00013880,Output Areas and Small Areas,OASA,285,94,23,0,48,10,9,0,3,2,0,4,8,7,30,24,9,8,6
74029,E00013881,E00013881,Output Areas and Small Areas,OASA,215,99,9,0,40,0,1,2,5,4,0,5,1,5,23,8,8,1,4
74030,E00013882,E00013882,Output Areas and Small Areas,OASA,208,112,8,0,28,1,6,5,3,3,0,0,2,2,17,6,9,0,6
74031,E00013883,E00013883,Output Areas and Small Areas,OASA,263,118,6,0,37,7,2,0,5,7,1,8,0,5,30,20,10,0,7
74032,E00013884,E00013884,Output Areas and Small Areas,OASA,188,98,17,0,24,0,1,1,5,3,2,4,0,2,6,13,2,0,10
74033,E00013885,E00013885,Output Areas and Small Areas,OASA,130,59,3,0,29,4,1,4,4,2,0,0,2,2,5,5,2,4,4
74034,E00013886,E00013886,Output Areas and Small Areas,OASA,312,138,9,0,64,7,12,5,6,9,0,6,2,3,11,16,14,5,5
74035,E00013887,E00013887,Output Areas and Small Areas,OASA,417,230,18,0,74,7,2,9,7,12,1,3,2,8,18,9,6,2,9
74036,E00013888,E00013888,Output Areas and Small Areas,OASA,425,249,31,1,62,2,1,15,1,8,0,5,7,10,15,3,6,0,9
74037,E00013889,E00013889,Output Areas and Small Areas,OASA,453,223,20,0,97,11,2,7,7,5,7,5,9,12,25,12,6,0,5
74038,E00013890,E00013890,Output Areas and Small Areas,OASA,361,209,18,0,62,7,4,11,3,1,0,0,4,3,5,16,4,2,12
74039,E00013891,E00013891,Output Areas and Small Areas,OASA,340,156,9,0,84,5,0,4,8,4,1,11,2,27,10,4,9,4,2
74040,E00013892,E00013892,Output Areas and Small Areas,OASA,391,111,15,0,51,11,6,1,13,3,1,19,4,10,75,24,34,3,10
74041,E00013893,E00013893,Output Areas and Small Areas,OASA,354,188,30,0,64,5,2,5,7,14,2,0,7,4,2,7,4,6,7
74042,E00013894,E00013894,Output Areas and Small Areas,OASA,348,104,21,0,31,9,4,5,3,4,0,29,2,5,75,26,19,1,10
74043,E00013895,E00013895,Output Areas and Small Areas,OASA,248,125,17,0,36,11,3,2,6,7,0,0,3,14,1,14,4,0,5
74044,E00013896,E00013896,Output Areas and Small Areas,OASA,182,93,5,0,38,7,0,1,7,3,0,0,7,10,1,6,2,0,2
74045,E00013897,E00013897,Output Areas and Small Areas,OASA,225,106,15,0,44,1,1,3,2,4,0,0,1,1,14,16,13,0,4
74046,E00013898,E00013898,Output Areas and Small Areas,OASA,254,152,15,0,58,0,0,4,6,3,0,0,3,3,1,5,0,1,3
