age,sex,household_size,english_proficiency,marital_status,number_of_cars_and_vans,economic_activity,ethnic_group,highest_qualification,approximated_social_grade
3,1,6,3,1,0,-9,18,-9,-9
36,2,2,-9,2,0,2,8,15,1
43,1,1,2,5,0,15,1,11,1
25,1,4,-9,1,0,2,14,12,2
28,2,6,-9,1,2,2,4,15,1
52,1,1,-9,2,2,2,9,15,1
68,1,1,-9,1,0,12,1,14,-9
20,2,4,2,1,1,9,4,16,2
37,2,2,-9,1,1,1,7,15,1
33,1,1,-9,1,0,16,2,12,3
22,1,5,-9,1,0,13,16,14,4
31,1,4,-9,2,1,1,8,15,1
28,1,4,-9,2,1,13,17,16,4
47,2,1,-9,1,0,1,4,10,4
62,1,2,2,2,0,1,18,13,4
6,1,4,-9,1,1,-9,8,-9,-9
15,2,2,-9,1,0,-9,1,-9,-9
66,2,1,-9,1,0,12,1,15,-9
70,1,1,-9,6,1,12,2,15,-9
23,1,2,1,2,0,13,17,15,2
33,2,1,1,4,0,2,4,11,4
40,2,2,-9,2,1,2,1,15,2
0,2,6,1,1,1,-9,11,-9,-9
27,2,0,-9,1,0,13,4,16,-9
30,2,2,-9,2,0,13,4,15,1
43,1,1,-9,1,0,7,1,15,2
1,2,4,3,1,0,-9,13,-9,-9
2,1,3,4,1,0,-9,12,-9,-9
63,2,1,1,5,0,12,4,16,2
18,1,5,-9,1,0,13,11,12,3
7,2,4,-9,1,0,-9,1,-9,-9
57,1,1,-9,1,0,16,1,11,3
5,2,4,2,1,1,-9,1,-9,-9
75,2,2,3,2,0,12,4,10,-9
8,2,9,-9,1,0,-9,11,-9,-9
29,1,2,-9,2,0,5,11,12,2
22,1,2,-9,1,0,13,8,12,2
1,1,3,-9,1,0,-9,13,-9,-9
80,1,1,-9,4,1,1,1,15,-9
31,1,3,-9,1,1,2,1,11,2
47,1,1,-9,1,1,1,1,15,2
20,2,4,-9,1,0,7,18,14,4
21,1,3,-9,1,0,16,5,11,4
30,2,4,2,1,1,2,17,15,2
37,1,1,-9,1,1,16,8,16,3
35,2,4,1,2,1,1,4,15,2
29,2,2,1,2,1,1,4,15,3
75,1,2,-9,2,0,1,1,10,-9
43,1,1,-9,1,0,6,9,15,1
2,1,2,-9,1,0,-9,1,-9,-9
38,1,2,2,2,0,2,4,15,2
20,2,4,-9,1,0,13,1,15,2
20,1,4,-9,1,0,8,1,15,2
23,1,5,-9,1,1,13,17,14,1
53,1,2,-9,2,1,2,4,15,1
38,1,2,-9,1,1,14,13,15,2
48,1,1,-9,4,1,4,4,12,3
39,1,4,2,2,1,1,1,11,3
21,2,4,2,1,0,13,4,15,-9
19,2,4,-9,1,0,13,9,14,4
42,2,1,-9,1,1,5,1,14,1
21,1,2,1,1,0,13,12,16,2
39,1,3,-9,2,3,4,1,15,1
19,1,2,2,1,0,2,4,16,4
20,1,4,1,1,0,13,14,14,2
51,2,6,1,5,1,2,4,16,1
22,1,1,-9,1,0,6,1,15,1
20,2,3,1,1,0,2,4,16,4
67,1,1,-9,6,0,12,1,16,-9
56,2,1,-9,1,1,2,1,14,2
69,2,2,-9,2,2,12,1,15,-9
21,1,2,-9,1,0,16,4,15,3
27,1,3,-9,1,1,13,13,15,3
17,1,5,-9,1,4,13,4,12,1
22,1,5,1,1,0,13,4,15,1
90,2,1,-9,6,0,12,1,10,-9
75,2,1,-9,1,0,1,1,10,-9
40,2,5,-9,1,0,5,1,15,1
32,1,1,-9,1,1,5,11,11,4
55,2,6,-9,2,1,2,1,11,2
21,1,4,-9,1,0,13,1,14,2
31,1,3,-9,1,0,7,1,16,4
59,2,4,2,2,1,6,18,10,3
5,2,7,-9,1,0,-9,1,-9,-9
32,1,4,-9,1,1,7,1,11,4
53,1,4,1,2,1,15,4,15,4
8,1,6,-9,1,0,-9,14,-9,-9
41,1,8,3,2,0,6,11,16,4
18,2,4,1,1,0,11,11,12,4
50,2,7,-9,4,1,2,14,16,2
80,2,2,-9,2,0,12,1,10,-9
23,2,2,-9,1,0,2,1,15,2
34,2,6,2,2,1,14,11,11,4
25,1,5,-9,1,1,2,11,11,4
28,2,3,3,2,0,16,7,10,4
48,1,1,-9,1,0,15,1,10,3
38,1,1,-9,1,1,2,18,15,1
1,2,4,-9,1,0,-9,1,-9,-9
13,1,5,-9,1,0,-9,16,-9,-9
15,1,5,-9,1,0,-9,16,-9,-9
37,1,3,3,2,0,14,11,16,4
27,1,1,-9,1,0,2,1,15,1
38,1,1,1,1,1,2,14,14,3
80,1,1,2,6,0,12,4,10,-9
53,1,1,-9,1,0,15,1,11,4
22,1,4,-9,1,1,-9,-9,-9,-9
0,2,4,-9,1,0,-9,14,-9,-9
32,1,2,-9,1,0,2,1,15,4
20,1,4,3,1,0,8,11,16,4
21,1,4,-9,1,0,13,1,14,2
22,2,3,2,1,2,13,13,11,2
42,2,5,1,2,0,2,13,12,3
55,2,3,-9,1,0,2,14,10,4
10,1,8,1,1,0,-9,11,-9,-9
11,2,3,-9,1,1,-9,1,-9,-9
11,1,5,-9,1,1,-9,16,-9,-9
2,2,4,-9,1,0,-9,11,-9,-9
17,1,9,-9,1,0,13,11,12,4
38,1,4,2,2,0,2,17,15,1
0,1,3,3,1,0,-9,18,-9,-9
63,1,1,-9,1,0,15,1,10,4
1,1,4,-9,1,2,-9,1,-9,-9
